PFAM	KO	PATHWAY	PATHWAY NAME
PF00137		1	Single Copy archaea
PF00253		1	Single Copy archaea
PF00327		1	Single Copy archaea
PF00334		1	Single Copy archaea
PF00670		1	Single Copy archaea
PF00679		1	Single Copy archaea
PF00709		1	Single Copy archaea
PF00736		1	Single Copy archaea
PF00749		1	Single Copy archaea
PF00752		1	Single Copy archaea
PF00827		1	Single Copy archaea
PF00832		1	Single Copy archaea
PF00833		1	Single Copy archaea
PF00867		1	Single Copy archaea
PF00900		1	Single Copy archaea
PF00919		1	Single Copy archaea
PF00935		1	Single Copy archaea
PF01015		1	Single Copy archaea
PF01035		1	Single Copy archaea
PF01090		1	Single Copy archaea
PF01092		1	Single Copy archaea
PF01139		1	Single Copy archaea
PF01157		1	Single Copy archaea
PF01172		1	Single Copy archaea
PF01174		1	Single Copy archaea
PF01180		1	Single Copy archaea
PF01192		1	Single Copy archaea
PF01194		1	Single Copy archaea
PF01198		1	Single Copy archaea
PF01200		1	Single Copy archaea
PF01201		1	Single Copy archaea
PF01246		1	Single Copy archaea
PF01253		1	Single Copy archaea
PF01269		1	Single Copy archaea
PF01280		1	Single Copy archaea
PF01282		1	Single Copy archaea
PF01287		1	Single Copy archaea
PF01351		1	Single Copy archaea
PF01496		1	Single Copy archaea
PF01599		1	Single Copy archaea
PF01655		1	Single Copy archaea
PF01667		1	Single Copy archaea
PF01725		1	Single Copy archaea
PF01780		1	Single Copy archaea
PF01798		1	Single Copy archaea
PF01813		1	Single Copy archaea
PF01849		1	Single Copy archaea
PF01864		1	Single Copy archaea
PF01866		1	Single Copy archaea
PF01884		1	Single Copy archaea
PF01896		1	Single Copy archaea
PF01907		1	Single Copy archaea
PF01912		1	Single Copy archaea
PF01922		1	Single Copy archaea
PF01941		1	Single Copy archaea
PF01948		1	Single Copy archaea
PF01949		1	Single Copy archaea
PF01951		1	Single Copy archaea
PF01967		1	Single Copy archaea
PF01973		1	Single Copy archaea
PF01981		1	Single Copy archaea
PF01982		1	Single Copy archaea
PF01984		1	Single Copy archaea
PF01990		1	Single Copy archaea
PF01991		1	Single Copy archaea
PF02005		1	Single Copy archaea
PF02006		1	Single Copy archaea
PF02748		1	Single Copy archaea
PF02834		1	Single Copy archaea
PF02996		1	Single Copy archaea
PF03439		1	Single Copy archaea
PF03764		1	Single Copy archaea
PF03853		1	Single Copy archaea
PF03874		1	Single Copy archaea
PF03876		1	Single Copy archaea
PF03911		1	Single Copy archaea
PF03950		1	Single Copy archaea
PF04010		1	Single Copy archaea
PF04019		1	Single Copy archaea
PF04104		1	Single Copy archaea
PF04127		1	Single Copy archaea
PF04406		1	Single Copy archaea
PF04919		1	Single Copy archaea
PF05221		1	Single Copy archaea
PF05670		1	Single Copy archaea
PF05746		1	Single Copy archaea
PF06026		1	Single Copy archaea
PF06093		1	Single Copy archaea
PF06463		1	Single Copy archaea
PF07541		1	Single Copy archaea
PF08068		1	Single Copy archaea
PF08069		1	Single Copy archaea
PF08071		1	Single Copy archaea
PF08608		1	Single Copy archaea
PF08704		1	Single Copy archaea
PF09173		1	Single Copy archaea
PF09239		1	Single Copy archaea
PF09377		1	Single Copy archaea
PF00035		2	Single Copy bacteria
PF00154		2	Single Copy bacteria
PF00163		2	Single Copy bacteria
PF00338		2	Single Copy bacteria
PF00453		2	Single Copy bacteria
PF00542		2	Single Copy bacteria
PF00584		2	Single Copy bacteria
PF00627		2	Single Copy bacteria
PF00707		2	Single Copy bacteria
PF00712		2	Single Copy bacteria
