	real	30	60	100	150	200	250	300
PF00067	0.625	0.725	0.651	0.637	0.629	0.630	0.626	0.629
PF00115	0.489	0.665	0.501	0.491	0.491	0.489	0.489	0.489
PF00116	0.659	0.072	0.730	0.640	0.650	0.649	0.652	0.659
PF00117	0.008	0.031	0.012	0.008	0.008	0.008	0.008	0.008
PF00120	0.093	0.152	0.137	0.073	0.096	0.093	0.093	0.093
PF00142	0.094	1.620	0.441	0.373	0.329	0.263	0.114	0.100
PF00148	2.282	0.348	2.245	2.282	2.275	2.279	2.275	2.282
PF00173	-0.036	-0.020	-0.031	-0.035	-0.034	-0.036	-0.035	-0.035
PF00174	-0.081	-0.055	-0.066	-0.079	-0.080	-0.081	-0.081	-0.081
PF00175	0.290	0.501	0.428	0.309	0.278	0.285	0.290	0.290
PF00194	0.076	0.126	0.077	0.077	0.077	0.077	0.077	0.077
PF00208	-0.040	-0.182	-0.194	-0.033	-0.066	-0.042	-0.045	-0.058
PF00310	0.407	0.473	0.523	0.394	0.425	0.413	0.360	0.330
PF00384	-0.033	-0.248	-0.024	-0.015	-0.027	-0.029	-0.032	-0.034
PF00441	-0.350	-0.245	-0.337	-0.352	-0.344	-0.356	-0.351	-0.351
PF00484	-0.104	-0.039	-0.098	-0.103	-0.104	-0.104	-0.104	-0.104
PF00696	0.002	0.199	0.004	0.002	0.002	0.002	0.002	0.002
PF00795	0.134	0.402	0.187	0.156	0.145	0.141	0.136	0.137
PF00970	0.169	-0.057	-0.303	-0.081	0.186	0.214	0.225	0.229
PF00988	0.159	0.165	0.149	0.163	0.160	0.161	0.159	0.159
PF01077	0.539	0.673	0.578	0.509	0.544	0.542	0.542	0.539
PF01493	0.433	0.487	0.408	0.283	0.145	0.191	0.350	0.369
PF01568	0.051	0.019	0.012	-0.048	-0.036	-0.013	0.030	0.081
PF01645	0.184	0.328	0.235	0.146	0.127	0.134	0.155	0.168
PF02142	0.116	0.135	0.170	0.137	0.152	0.117	0.139	0.139
PF02239	0.162	-0.019	-0.027	-0.048	-0.112	-0.055	0.026	0.135
PF02335	-0.046	-0.042	-0.044	-0.046	-0.047	-0.047	-0.049	-0.049
PF02461	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.008
PF02560	0.934	0.934	0.937	0.937	0.937	0.937	0.937	0.937
PF02665	-0.062	-0.056	-0.060	-0.062	-0.063	-0.063	-0.063	-0.063
PF02771	-0.302	-0.214	-0.319	-0.305	-0.330	-0.322	-0.299	-0.325
PF02786	0.044	0.093	0.057	0.049	0.044	0.042	0.042	0.043
PF02787	0.128	-0.008	0.140	0.078	0.128	0.132	0.106	0.103
PF02812	-0.105	-0.223	-0.277	-0.189	-0.127	-0.106	-0.106	-0.106
PF03060	0.007	-0.160	-0.380	-0.296	-0.187	0.087	0.106	0.092
PF03063	-0.072	-0.072	-0.072	-0.072	-0.072	-0.072	-0.072	-0.072
PF03069	0.205	0.176	0.210	0.203	0.201	0.203	0.205	0.205
PF03139	-0.005	-0.005	-0.005	-0.005	-0.005	-0.005	-0.005	-0.005
PF03404	-0.086	-0.026	-0.064	-0.080	-0.075	-0.089	-0.086	-0.086
PF03460	0.533	0.651	0.549	0.548	0.536	0.536	0.533	0.534
PF03951	0.134	-0.072	0.115	0.081	-0.021	0.114	0.082	0.115
PF04324	-0.223	-0.110	-0.187	-0.198	-0.209	-0.214	-0.216	-0.219
PF04879	0.085	-0.130	-0.206	-0.254	-0.274	-0.065	-0.214	-0.101
PF04898	0.456	0.485	0.557	0.446	0.467	0.490	0.471	0.460
PF05088	-0.065	-0.064	-0.064	-0.065	-0.065	-0.065	-0.065	-0.065
PF07732	-0.043	-0.085	-0.011	-0.099	-0.089	-0.067	-0.069	-0.044
PF07992	0.000	-0.097	0.001	0.000	0.000	0.000	0.000	0.000
PF11844	0.574	0.260	0.442	0.285	0.473	0.597	0.520	0.534
PF13247	-0.080	-0.070	-0.077	-0.079	-0.080	-0.080	-0.080	-0.080
PF13442	0.623	0.710	0.749	0.650	0.639	0.629	0.629	0.623
PF13447	-0.023	-0.010	-0.022	-0.023	-0.024	-0.024	-0.024	-0.024
PF13806	-0.099	-0.091	-0.063	-0.132	-0.094	-0.139	-0.096	-0.097
PF14691	-0.358	-0.164	-0.266	-0.355	-0.363	-0.360	-0.370	-0.352
PF14710	-0.048	-0.014	-0.018	-0.014	-0.016	-0.019	-0.022	-0.019
PF14711	-0.056	-0.048	-0.053	-0.055	-0.056	-0.056	-0.056	-0.056
