	sulfur	carbon	oxygen	iron	nitrogen
GCF_000024605.1	0.78	0.16	0.15	0.43	0.37
GCF_000025285.1	0.75	0.29	0.14	0.07	0.3
GCF_000018425.1	0.75	0.2	0.45	0.14	0.46
GCF_000020645.1	0.74	0.14	0.52	0.62	0.55
GCF_000020545.1	0.73	0.11	0.52	0.72	0.56
GCF_000012585.1	0.73	0.09	0.51	0.71	0.57
GCF_000012745.1	0.72	0.07	0.44	0.38	0.66
GCF_000024325.1	0.72	0.11	0.26	0.48	0.42
GCF_000012665.1	0.72	0.08	0.38	0.54	0.39
GCF_000015485.1	0.71	0.1	0.55	0.66	0.53
GCF_000006985.1	0.71	0.11	0.44	0.35	0.55
GCF_000801295.1	0.7	0.08	0.28	0.77	0.66
GCF_000021385.1	0.69	0.11	0.59	0.58	0.57
GCF_000022125.1	0.69	0.07	0.16	0.47	0.43
GCF_001553605.1	0.68	0.1	0.16	0.62	0.41
GCF_000195295.1	0.68	0.17	0.3	0.39	0.5
GCF_000023445.1	0.68	0.11	0.45	0.36	0.52
GCF_000194625.1	0.68	0.35	0.26	0.35	0.43
GCF_000217795.1	0.68	0.24	0.43	0.52	0.5
GCF_000321415.2	0.68	0.06	0.27	0.81	0.74
GCF_000020985.1	0.67	0.16	0.33	0.63	0.53
GCF_000215975.1	0.67	0.15	0.21	0.42	0.41
GCF_000214435.1	0.67	0.14	0.43	0.45	0.51
GCF_000025485.1	0.67	0.14	0.54	0.76	0.67
GCF_000297055.2	0.67	0.09	0.35	0.78	0.66
GCF_000227745.2	0.66	0.13	0.47	0.87	0.7
GCF_000092205.1	0.66	0.16	0.38	0.45	0.6
GCF_000307105.1	0.66	0.17	0.15	0.54	0.52
GCF_000734015.1	0.66	0.16	0.2	0.53	0.46
GCF_000023225.1	0.66	0.15	0.56	0.75	0.62
GCF_000212675.2	0.65	0.17	0.52	0.55	0.62
GCF_000014965.1	0.65	0.17	0.4	0.68	0.6
GCF_000828835.1	0.64	0.17	0.51	0.71	0.77
GCF_000010665.1	0.64	0.12	0.43	0.53	0.59
GCF_000227685.2	0.64	0.05	0.32	0.75	0.73
GCF_000008665.1	0.64	0.4	0.3	0.45	0.45
GCF_000341395.1	0.64	0.19	0.39	0.6	0.6
GCF_000215085.1	0.64	0.16	0.41	0.29	0.54
GCF_000010785.1	0.63	0.1	0.66	0.46	0.68
GCF_000025945.1	0.63	0.11	0.1	0.49	0.5
GCF_000148385.1	0.63	0.06	0.15	0.25	0.43
GCF_001007875.1	0.63	0.24	0.51	0.85	0.72
GCF_000021985.1	0.63	0.07	0.38	0.68	0.66
GCF_000212395.1	0.63	0.12	0.43	0.07	0.52
GCF_000176915.2	0.62	0.14	0.38	0.42	0.48
GCF_001293165.1	0.62	0.05	0.3	0.66	0.6
GCF_000253055.1	0.62	0.07	0.08	0.15	0.42
GCF_000327045.1	0.61	0.14	0.46	0.81	0.72
GCF_000021565.1	0.61	0.1	0.33	0.76	0.62
GCF_000024205.1	0.6	0.2	0.35	0.12	0.5
GCF_000143965.1	0.6	0.2	0.35	0.69	0.51
GCF_000968135.1	0.6	0.07	0.45	0.8	0.7
GCF_000385565.1	0.6	0.4	0.33	0.18	0.48
GCF_000233715.2	0.59	0.22	0.31	0.44	0.57
GCF_000189295.2	0.59	0.14	0.5	0.71	0.62
GCF_000186885.1	0.59	0.12	0.38	0.59	0.6
GCF_000020785.1	0.58	0.08	0.23	0.39	0.51
GCF_000020365.1	0.58	0.19	0.45	0.66	0.61
GCF_000021905.1	0.58	0.21	0.27	0.51	0.51
GCF_000015145.1	0.58	0.05	0.02	0.14	0.27
GCF_000020465.1	0.58	0.13	0.49	0.61	0.58
GCF_000235605.1	0.57	0.28	0.31	0.55	0.62
GCF_000231385.2	0.57	0.26	0.44	0.65	0.65
GCF_000092945.1	0.56	0.24	0.43	0.39	0.54
GCF_000015125.1	0.56	0.13	0.45	0.55	0.56
GCF_000010405.1	0.56	0.04	0.34	0.71	0.61
GCF_000255115.2	0.56	0.21	0.42	0.66	0.66
GCF_000012865.1	0.56	0.16	0.13	0.43	0.48
GCF_000015105.1	0.55	0.04	0.36	0.51	0.6
GCF_000223395.1	0.55	0.08	0.16	0.34	0.34
GCF_000024625.1	0.55	0.9	0.48	0.05	0.36
GCF_000191045.1	0.55	0.14	0.19	0.45	0.44
GCF_000016165.1	0.54	0.09	0.35	0.34	0.52
GCF_000193375.1	0.54	0.05	0.08	0.24	0.38
GCF_000725425.1	0.53	0.09	0	0.05	0.3
GCF_000025505.1	0.53	0.37	0.25	0.56	0.5
GCF_000010325.1	0.53	0.09	0.39	0.56	0.56
GCF_000828615.1	0.53	0.06	0.3	0.8	0.66
GCF_000013105.1	0.53	0.21	0.52	0.07	0.51
GCF_000828635.1	0.53	0.09	0.3	0.77	0.68
GCF_000025705.1	0.52	0.09	0.47	0.87	0.71
GCF_000020625.1	0.52	0.14	0.45	0.57	0.54
GCF_000018365.1	0.52	0.13	0	0.02	0.29
GCF_000017945.1	0.52	0.08	0.06	0.33	0.3
GCF_000020505.1	0.52	0.09	0.56	0.66	0.57
GCF_000265525.1	0.52	0.12	0	0.01	0.28
GCF_000215995.1	0.51	0.13	0	0.04	0.27
GCF_000266945.1	0.51	0.23	0.52	0.76	0.7
GCF_000221185.1	0.51	0.13	0	0.01	0.3
GCF_000183725.1	0.51	0.07	0.5	0.65	0.68
GCF_000025665.1	0.51	0.06	0	0.04	0.26
GCF_000015205.1	0.51	0.09	0.08	0.02	0.35
GCF_001592435.1	0.51	0.1	0	0.01	0.28
GCF_000016085.1	0.51	0.09	0.48	0.57	0.54
GCF_000789255.1	0.51	0.37	0.29	0.53	0.51
