# dom_assign_file=genomes_refseq_nr_22122016_size100_cover10.faa.out.hmmsearch.tab
# list_file=suli.nr25122016.txt
# RefSeq_file=assembly_refseq.nr2016.txt
# PSEUDOCOUNT=0.8

# number of taxa in suli.nr25122016.txt = 161

	PF00005	PF00009	PF00034	PF00037	PF00106	PF00111	PF00124	PF00171	PF00174	PF00175	PF00202	PF00205	PF00258	PF00291	PF00296	PF00355	PF00374	PF00378	PF00384	PF00389	PF00441	PF00459	PF00484	PF00501	PF00528	PF00534	PF00556	PF00557	PF00581	PF00667	PF00848	PF00890	PF00970	PF01011	PF01058	PF01070	PF01077	PF01087	PF01208	PF01292	PF01370	PF01384	PF01507	PF01515	PF01553	PF01568	PF01571	PF01583	PF01613	PF01747	PF02332	PF02406	PF02515	PF02615	PF02635	PF02662	PF02665	PF02668	PF02770	PF02771	PF02775	PF02776	PF02826	PF02872	PF02910	PF03358	PF03404	PF03460	PF03916	PF03967	PF04069	PF04077	PF04173	PF04295	PF04358	PF04663	PF04879	PF04945	PF05239	PF05398	PF06099	PF07680	PF07682	PF07992	PF08669	PF08770	PF09084	PF09242	PF09459	PF10418	PF10518	PF11511	PF12139	PF12800	PF12806	PF12831	PF12838	PF12857	PF13183	PF13187	PF13193	PF13247	PF13360	PF13439	PF13442	PF13501	PF13531	PF13577	PF14306	PF14697	PF16867	PF17179
Bacillus pseudofirmus OF4	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0
Escherichia coli str. K-12 substr. MG1655	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1
Methanococcus voltae A3	1	1	0	1	0	0	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1
Corynebacterium jeikeium K411	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0
Ureaplasma parvum serovar 3 str. ATCC 700970	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yersinia pestis KIM10+	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0
Chlamydia muridarum str. Nigg	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Xylella fastidiosa 9a5c	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0
Vibrio cholerae O1 biovar El Tor str. N16961	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0
Pseudomonas aeruginosa PAO1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1
