# dom_assign_file=gen_genF/genomes_refseq_nr_22122016_size250_cover10.faa.out.hmmsearch.tab
# list_file=Feli.txt
# RefSeq_file=assembly_refseq.nr2016.txt
# PSEUDOCOUNT=0.8

# number of taxa in Feli.txt = 32

	PF00032	PF00033	PF00034	PF00115	PF00116	PF00355	PF00378	PF00465	PF00501	PF00510	PF00550	PF00668	PF01106	PF01154	PF01521	PF01592	PF01794	PF02167	PF02421	PF02535	PF03169	PF03264	PF07664	PF07670	PF08022	PF08030	PF08540	PF09699	PF10399	PF11854	PF13434	PF13523	PF14522
Bacillus pseudofirmus OF4	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0
Escherichia coli str. K-12 substr. MG1655	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	1	1
Methanococcus voltae A3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
Corynebacterium jeikeium K411	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Ureaplasma parvum serovar 3 str. ATCC 700970	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yersinia pestis KIM10+	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0
Chlamydia muridarum str. Nigg	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xylella fastidiosa 9a5c	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0
Vibrio cholerae O1 biovar El Tor str. N16961	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1
Pseudomonas aeruginosa PAO1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1
Streptococcus pyogenes M1 GAS	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Halobacterium salinarum NRC-1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0
Pasteurella multocida subsp. multocida str. Pm70	0	0	1	0	0	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1
Neisseria gonorrhoeae FA 1090	1	1	1	1	0	1	0	1	1	0	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0
Lactococcus lactis subsp. lactis Il1403	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0
Streptococcus pneumoniae TIGR4	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0
Caulobacter crescentus CB15	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	0	1	0	1	1	0
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
Sinorhizobium meliloti 1021	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	1	1	1
Chlorobium tepidum TLS	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Sulfolobus solfataricus P2	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Rickettsia conorii str. Malish 7	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Methanosarcina mazei Go1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1
Caldanaerobacter subterraneus subsp. tengcongensis MB4	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0
Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	1	1	1	0	0	1	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0
Brucella melitensis bv. 1 str. 16M	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Xanthomonas campestris pv. campestris str. ATCC 33913	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0
Xanthomonas axonopodis pv. citri str. 306	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0
Chlamydophila pneumoniae TW-183	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xylella fastidiosa Temecula1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0
Streptococcus agalactiae 2603V/R	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0
Pyrococcus furiosus DSM 3638	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0
Fusobacterium nucleatum subsp. nucleatum ATCC 25586	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Methanosarcina acetivorans C2A	0	0	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	1
Buchnera aphidicola str. Sg (Schizaphis graminum)	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
Xanthomonas oryzae pv. oryzae KACC 10331	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	1	0	1	0	0
Streptococcus mutans UA159	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0
Tropheryma whipplei str. Twist	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bifidobacterium longum NCC2705	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pseudomonas putida KT2440	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	0
Porphyromonas gingivalis W83	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0	0	1
Chlamydophila caviae GPIC	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium tetani E88	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Staphylococcus epidermidis ATCC 12228	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0
Leifsonia xyli subsp. xyli str. CTCB07	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
