	real	30	60	100	150	200	250	300
PF00032	0.791	0.238	0.465	0.656	0.712	0.711	0.784	0.786
PF00033	0.565	0.454	0.549	0.636	0.567	0.568	0.566	0.565
PF00034	0.449	0.746	0.540	0.480	0.468	0.457	0.453	0.456
PF00115	0.371	0.144	0.381	0.373	0.373	0.371	0.371	0.371
PF00116	0.236	0.200	0.331	0.309	0.230	0.229	0.231	0.236
PF00355	0.493	0.587	0.516	0.516	0.515	0.508	0.514	0.504
PF00378	0.249	0.040	0.220	0.251	0.245	0.246	0.248	0.249
PF00465	-0.042	0.028	-0.075	-0.081	-0.013	-0.064	-0.022	-0.040
PF00501	0.141	0.250	0.165	0.149	0.143	0.142	0.142	0.141
PF00510	0.184	-0.023	0.120	0.207	0.196	0.192	0.188	0.188
PF00550	0.025	0.010	0.027	0.026	0.026	0.025	0.025	0.025
PF00668	-0.129	-0.076	-0.155	-0.173	-0.165	-0.181	-0.130	-0.129
PF01106	0.249	0.183	0.255	0.253	0.250	0.249	0.249	0.249
PF01154	-0.082	0.068	-0.041	-0.058	-0.066	-0.070	-0.092	-0.081
PF01521	-0.132	0.275	-0.108	-0.130	-0.132	-0.132	-0.132	-0.132
PF01592	0.220	0.340	0.188	0.163	0.218	0.218	0.220	0.220
PF01794	0.069	0.143	0.044	0.076	0.058	0.067	0.068	0.069
PF02167	0.266	0.209	0.357	0.258	0.285	0.223	0.284	0.274
PF02421	-0.001	0.107	0.004	-0.001	-0.001	-0.001	-0.001	-0.001
PF02535	-0.189	-0.021	0.084	-0.142	-0.183	-0.192	-0.190	-0.190
PF03169	-0.078	0.135	-0.060	-0.072	-0.078	-0.079	-0.079	-0.078
PF03264	1.166	0.370	0.671	1.084	1.161	1.146	1.150	1.144
PF07664	0.492	0.097	0.236	0.438	0.523	0.498	0.491	0.489
PF07670	0.339	0.067	0.247	0.356	0.327	0.322	0.325	0.322
PF08022	0.440	0.068	0.330	0.497	0.476	0.485	0.414	0.419
PF08030	-0.101	0.060	-0.039	-0.122	0.010	-0.032	-0.095	-0.070
PF08540	-0.067	1.944	-0.050	-0.068	-0.083	-0.079	-0.069	-0.068
PF09699	1.013	0.234	1.474	1.286	1.108	0.983	1.009	0.976
PF10399	0.341	1.135	0.271	0.262	0.348	0.342	0.341	0.341
PF11854	1.360	-0.076	1.127	1.157	1.078	0.895	1.185	1.311
PF13434	-0.118	-0.066	-0.189	-0.223	-0.066	-0.053	-0.140	-0.137
PF13523	-0.249	0.711	-0.176	-0.215	-0.256	-0.249	-0.249	-0.249
PF14522	1.005		0.965	1.243	0.999	0.955	0.957	0.949
