	real	30	60	100	150	200	250	300
PF00037	0.088	0.107	0.090	0.086	0.085	0.085	0.088	0.087
PF00067	-0.166	-0.084	-0.142	-0.162	-0.165	-0.165	-0.166	-0.165
PF00115	-0.372	-0.201	-0.371	-0.371	-0.371	-0.372	-0.372	-0.372
PF00116	-0.330	-0.144	-0.275	-0.327	-0.335	-0.335	-0.335	-0.330
PF00117	0.008	0.036	0.012	0.008	0.008	0.008	0.008	0.008
PF00120	0.093	0.213	0.137	0.102	0.096	0.093	0.093	0.093
PF00142	0.094	1.293	0.359	0.294	0.310	0.244	0.114	0.100
PF00146	0.442	-0.033	0.446	0.432	0.436	0.440	0.440	0.440
PF00148	1.799	0.869	1.672	1.760	1.793	1.757	1.793	1.799
PF00173	0.404	0.386	0.435	0.418	0.420	0.406	0.409	0.411
PF00174	0.030	-0.023	-0.001	0.016	0.015	0.014	0.014	0.014
PF00175	0.124	-0.034	-0.217	0.124	0.131	0.137	0.124	0.124
PF00194	-0.061	-0.063	-0.060	-0.060	-0.060	-0.060	-0.060	-0.060
PF00208	-0.155	-0.281	-0.151	-0.162	-0.168	-0.156	-0.159	-0.157
PF00296	0.491	0.377	0.483	0.495	0.491	0.490	0.490	0.489
PF00310	0.186	-0.276	0.043	0.120	0.140	0.101	0.121	0.179
PF00329	-0.030	-0.036	-0.011	-0.007	-0.025	-0.029	-0.044	-0.029
PF00346	0.463	0.220	0.468	0.464	0.465	0.465	0.463	0.463
PF00361	0.285	0.006	0.250	0.285	0.285	0.286	0.285	0.285
PF00374	1.037	0.562	0.996	1.047	1.030	1.030	1.003	1.027
PF00384	0.302	0.146	0.100	0.249	0.311	0.307	0.304	0.302
PF00420	0.152	0.213	0.171	0.169	0.169	0.152	0.152	0.152
PF00441	-0.351	-0.262	-0.337	-0.348	-0.355	-0.350	-0.351	-0.351
PF00484	-0.056	-0.160	-0.065	-0.055	-0.056	-0.056	-0.056	-0.056
PF00499	-0.117	-0.005	-0.119	-0.115	-0.117	-0.117	-0.117	-0.117
PF00507	-0.140	-0.120	-0.135	-0.140	-0.140	-0.140	-0.140	-0.140
PF00662	-0.074	-0.141	-0.061	-0.073	-0.025	-0.052	-0.061	-0.041
PF00696	0.002	0.156	0.004	0.002	0.002	0.002	0.002	0.002
PF00795	-0.150	0.015	-0.108	-0.133	-0.141	-0.145	-0.148	-0.148
PF00871	-0.344	-0.351	-0.349	-0.339	-0.344	-0.344	-0.344	-0.344
PF00970	-0.319	-0.023	-0.185	-0.281	-0.309	-0.328	-0.322	-0.320
