	real	30	60	100	150	200	250	300
PF00005	-0.001	0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001
PF00009	-0.001	-0.014	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001
PF00034	-0.119	-0.195	-0.183	-0.153	-0.115	-0.106	-0.101	-0.107
PF00037	0.088	0.107	0.090	0.086	0.085	0.085	0.088	0.087
PF00106	0.043	-0.033	0.041	0.038	0.037	0.035	0.035	0.042
PF00111	-0.023	-0.120	0.035	-0.000	-0.009	-0.012	-0.018	-0.010
PF00124	-0.010	-0.010	-0.010	-0.010	-0.010	-0.010	-0.010	-0.010
PF00171	-0.111	-0.145	-0.114	-0.111	-0.106	-0.106	-0.107	-0.110
PF00174	-0.005	-0.019	-0.040	-0.012	-0.004	-0.004	-0.004	-0.004
PF00175	-0.092	-0.119	-0.068	-0.052	-0.068	-0.071	-0.092	-0.100
PF00202	0.114	0.125	0.119	0.115	0.115	0.116	0.115	0.114
PF00205	-0.043	0.057	-0.039	-0.067	-0.043	-0.042	-0.046	-0.044
PF00258	-0.082	-0.089	-0.230	-0.072	-0.029	-0.077	-0.079	-0.089
PF00291	0.079	0.016	0.090	0.085	0.081	0.080	0.080	0.079
PF00296	-0.293	-0.231	-0.288	-0.290	-0.290	-0.290	-0.293	-0.293
PF00355	-0.143	-0.155	-0.144	-0.130	-0.130	-0.134	-0.146	-0.137
PF00374	1.137	0.873	1.113	1.095	1.144	1.144	1.139	1.132
PF00378	-0.261	-0.257	-0.269	-0.247	-0.245	-0.256	-0.255	-0.261
PF00384	0.272	0.298	0.289	0.282	0.280	0.276	0.275	0.271
PF00389	0.050	0.002	0.042	0.043	0.065	0.058	0.050	0.051
PF00441	-0.274	-0.242	-0.274	-0.274	-0.259	-0.263	-0.259	-0.259
PF00459	0.027	-0.085	0.024	0.026	0.027	0.027	0.027	0.027
PF00484	-0.261	-0.276	-0.278	-0.272	-0.261	-0.261	-0.261	-0.261
PF00501	-0.035	-0.079	-0.083	-0.055	-0.042	-0.035	-0.035	-0.035
PF00528	0.035	-0.086	0.040	0.037	0.035	0.035	0.035	0.035
PF00534	0.063	0.224	0.093	0.067	0.064	0.063	0.063	0.064
PF00556	0.053	0.049	0.066	0.053	0.052	0.053	0.053	0.053
PF00557	0.000	0.099	0.001	0.001	0.001	0.000	0.000	0.000
PF00581	-0.178	-0.134	-0.184	-0.203	-0.210	-0.211	-0.211	-0.211
PF00667	-0.127	-0.007	-0.064	-0.106	-0.128	-0.128	-0.128	-0.127
PF00848	-0.149	-0.091	-0.135	-0.142	-0.143	-0.150	-0.150	-0.150
PF00890	0.000	0.075	0.028	0.019	0.007	0.018	0.008	0.003
PF00970	-0.190	-0.056	-0.197	-0.148	-0.190	-0.183	-0.186	-0.185
PF01011	-0.156	-0.194	-0.154	-0.119	-0.118	-0.122	-0.135	-0.141
PF01058	0.447	0.476	0.441	0.447	0.447	0.447	0.447	0.436
PF01070	0.025	-0.150	0.008	0.049	0.044	0.047	0.055	0.041
PF01077	0.002	0.079	-0.008	-0.002	-0.003	0.004	-0.014	0.002
PF01087	-0.084	-0.121	-0.110	-0.080	-0.083	-0.084	-0.084	-0.084
PF01208	-0.252	-0.281	-0.234	-0.235	-0.237	-0.246	-0.248	-0.252
PF01292	0.161	0.086	0.074	0.149	0.166	0.151	0.160	0.161
PF01370	0.041	0.106	0.068	0.049	0.041	0.037	0.040	0.041
PF01384	0.021	0.071	-0.045	0.003	0.015	0.022	0.022	0.021
PF01507	-0.030	-0.213	-0.109	-0.130	-0.092	-0.042	-0.029	-0.032
PF01515	-0.332	-0.338	-0.351	-0.348	-0.322	-0.320	-0.327	-0.334
PF01553	-0.279	-0.075	-0.278	-0.279	-0.280	-0.280	-0.279	-0.279
PF01568	0.414	0.308	0.434	0.350	0.436	0.443	0.438	0.395
PF01571	-0.087	-0.054	-0.045	-0.079	-0.093	-0.086	-0.095	-0.087
PF01583	0.005	0.014	0.096	0.069	0.079	0.055	0.091	0.087
PF01613	-0.050	-0.108	0.010	-0.042	-0.049	-0.050	-0.050	-0.050
PF01747	1.033	0.887	1.080	1.050	1.050	1.035	1.033	1.033
PF02332	-0.023	-0.018	-0.022	-0.023	-0.023	-0.022	-0.022	-0.024
PF02406	-0.022	-0.021	-0.022	-0.022	-0.022	-0.022	-0.022	-0.022
PF02515	-0.177	-0.170	-0.176	-0.172	-0.177	-0.177	-0.177	-0.177
PF02615	-0.144	-0.095	-0.143	-0.143	-0.143	-0.143	-0.144	-0.144
PF02635	0.353	0.191	0.474	0.439	0.392	0.370	0.371	0.372
PF02662	0.843	0.825	0.786	0.791	0.782	0.804	0.846	0.843
PF02665	0.517	-0.057	0.439	0.489	0.515	0.511	0.523	0.516
PF02668	-0.154	-0.054	-0.146	-0.152	-0.153	-0.153	-0.154	-0.154
PF02770	-0.280	-0.031	-0.245	-0.272	-0.278	-0.283	-0.284	-0.283
PF02771	-0.272	-0.236	-0.274	-0.266	-0.269	-0.278	-0.284	-0.275
PF02775	0.033	0.153	0.121	0.056	0.029	0.026	0.027	0.028
PF02776	0.075	-0.041	-0.061	-0.040	0.062	0.041	0.058	0.065
PF02826	0.072	0.049	0.061	0.084	0.075	0.073	0.072	0.069
PF02872	-0.189	-0.132	-0.209	-0.215	-0.207	-0.195	-0.210	-0.189
PF02910	0.097	0.018	0.097	0.025	0.040	0.043	0.065	0.094
PF03358	-0.123	-0.198	-0.162	-0.128	-0.116	-0.125	-0.124	-0.124
PF03404	-0.014	-0.021	0.010	0.006	-0.011	-0.021	-0.013	-0.005
PF03460	-0.002	-0.071	-0.011	-0.010	-0.000	-0.009	-0.002	-0.001
PF03916	0.814	0.461	0.827	0.832	0.825	0.838	0.832	0.810
PF03967	0.028	0.029	0.029	0.029	0.026	0.028	0.028	0.028
PF04069	-0.249	-0.165	-0.263	-0.266	-0.248	-0.248	-0.239	-0.250
PF04077	0.058	-0.002	0.059	0.059	0.058	0.058	0.058	0.058
PF04173	-0.126	0.116	0.071	-0.103	-0.124	-0.126	-0.125	-0.124
PF04295	-0.091	-0.095	-0.091	-0.091	-0.091	-0.091	-0.091	-0.091
PF04358	0.523	0.537	0.523	0.523	0.523	0.523	0.523	0.523
PF04663	-0.011	-0.011	-0.012	-0.012	-0.011	-0.011	-0.011	-0.011
PF04879	0.436	0.325	0.443	0.384	0.371	0.298	0.385	0.328
PF04945	0.048	0.139	0.146	0.133	0.089	0.102	0.087	0.097
PF05239	-0.114	-0.046	-0.123	-0.131	-0.110	-0.105	-0.101	-0.106
PF05398	0.002	0.000	0.000	0.002	0.002	0.002	0.002	0.002
PF06099	-0.010	-0.010	-0.010	-0.010	-0.010	-0.010	-0.010	-0.010
PF07680	0.144	0.105	0.131	0.147	0.150	0.147	0.147	0.147
PF07682	0.172	0.161	0.194	0.178	0.178	0.178	0.172	0.172
PF07992	0.000	-0.022	0.001	0.000	0.000	0.000	0.000	0.000
PF08669	-0.097	-0.062	-0.061	-0.114	-0.104	-0.096	-0.101	-0.095
PF08770	0.344	0.416	0.345	0.355	0.344	0.340	0.337	0.334
