# dom_assign_file=gen_genF/genomes_refseq_nr_22122016_size200_cover10.faa.out.hmmsearch.tab
# list_file=oxli.txt
# RefSeq_file=assembly_refseq.nr2016.txt
# PSEUDOCOUNT=0.8

# number of taxa in oxli.txt = 53

	PF00067	PF00115	PF00116	PF00117	PF00120	PF00142	PF00148	PF00173	PF00174	PF00175	PF00194	PF00208	PF00310	PF00384	PF00441	PF00484	PF00696	PF00795	PF00970	PF00988	PF01077	PF01493	PF01568	PF01645	PF02142	PF02239	PF02335	PF02461	PF02560	PF02665	PF02771	PF02786	PF02787	PF02812	PF03060	PF03063	PF03069	PF03139	PF03404	PF03460	PF03951	PF04324	PF04879	PF04898	PF05088	PF07732	PF07992	PF11844	PF13247	PF13442	PF13447	PF13806	PF14691	PF14710	PF14711
Bacillus pseudofirmus OF4	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	0	0
Escherichia coli str. K-12 substr. MG1655	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	1
Methanococcus voltae A3	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0
Corynebacterium jeikeium K411	0	1	1	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0
Ureaplasma parvum serovar 3 str. ATCC 700970	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Yersinia pestis KIM10+	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0
Chlamydia muridarum str. Nigg	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Xylella fastidiosa 9a5c	1	1	1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	1	1	0	0
Vibrio cholerae O1 biovar El Tor str. N16961	0	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0
Pseudomonas aeruginosa PAO1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1
Streptococcus pyogenes M1 GAS	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Halobacterium salinarum NRC-1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0
Pasteurella multocida subsp. multocida str. Pm70	0	0	0	1	1	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0
Neisseria gonorrhoeae FA 1090	0	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0
Lactococcus lactis subsp. lactis Il1403	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0
Streptococcus pneumoniae TIGR4	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Caulobacter crescentus CB15	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1	0	0
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1
Sinorhizobium meliloti 1021	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0
Chlorobium tepidum TLS	0	0	0	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	1	1	0	0
Sulfolobus solfataricus P2	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0
Rickettsia conorii str. Malish 7	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
Methanosarcina mazei Go1	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	1	1	0	0
Caldanaerobacter subterraneus subsp. tengcongensis MB4	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0
Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	0	0	0	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	0	0
Brucella melitensis bv. 1 str. 16M	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	0	1
Xanthomonas campestris pv. campestris str. ATCC 33913	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0
Xanthomonas axonopodis pv. citri str. 306	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0
Chlamydophila pneumoniae TW-183	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Xylella fastidiosa Temecula1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	1	1	0	0
